Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor Bruto;Valor m2;Valor Bruto m2;Tipo Agregado
Apartamento;Barra da Tijuca;2;1;1;80;2250.0;1091.0;205.0;3546.0;28.12;44.32;Apartamento
Apartamento;Flamengo;2;1;0;75;2500.0;1067.0;125.0;3692.0;33.33;49.23;Apartamento
Apartamento;Leblon;2;1;1;105;2700.0;1900.0;400.0;5000.0;25.71;47.62;Apartamento
Apartamento;Barra da Tijuca;1;1;1;70;2000.0;970.0;170.0;3140.0;28.57;44.86;Apartamento
Apartamento;Barra da Tijuca;2;1;1;100;2300.0;1678.0;2500.0;6478.0;23.0;64.78;Apartamento
Apartamento;Engenho de Dentro;2;0;0;53;800.0;260.0;16.0;1076.0;15.09;20.3;Apartamento
Apartamento;Copacabana;3;0;0;110;3000.0;1300.0;200.0;4500.0;27.27;40.91;Apartamento
Casa de Condomínio;Barra da Tijuca;4;3;4;350;13000.0;1210.0;1000.0;15210.0;37.14;43.46;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;75;1550.0;750.0;0.0;2300.0;20.67;30.67;Apartamento
Apartamento;Ipanema;3;1;1;80;3900.0;1368.0;113.0;5381.0;48.75;67.26;Apartamento
Casa;Freguesia (Jacarepaguá);4;10;1;400;4900.0;0.0;0.0;4900.0;12.25;12.25;Casa
Apartamento;Copacabana;1;0;0;35;1800.0;520.0;25.0;2345.0;51.43;67.0;Apartamento
Apartamento;Pechincha;2;1;1;65;1300.0;570.0;12.0;1882.0;20.0;28.95;Apartamento
Apartamento;Barra da Tijuca;2;1;1;63;2500.0;1280.0;204.0;3984.0;39.68;63.24;Apartamento
Apartamento;Ipanema;1;0;0;46;1700.0;700.0;132.0;2532.0;36.96;55.04;Apartamento
Apartamento;Riachuelo;1;0;0;46;900.0;253.0;17.0;1170.0;19.57;25.43;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;90;1790.0;590.0;990.0;3370.0;19.89;37.44;Apartamento
Apartamento;Campo Grande;2;0;0;60;800.0;350.0;0.0;1150.0;13.33;19.17;Apartamento
Apartamento;Flamengo;1;0;0;47;1600.0;650.0;0.0;2250.0;34.04;47.87;Apartamento
Apartamento;Leblon;3;2;1;240;15000.0;975.0;0.0;15975.0;62.5;66.56;Apartamento
Apartamento;Catete;2;1;0;81;2300.0;530.0;132.0;2962.0;28.4;36.57;Apartamento
Casa;Barra da Tijuca;5;2;0;200;11000.0;1300.0;900.0;13200.0;55.0;66.0;Casa
Apartamento;Barra da Tijuca;3;2;3;130;5700.0;850.0;450.0;7000.0;43.85;53.85;Apartamento
Apartamento;Barra da Tijuca;3;3;3;180;6500.0;2000.0;500.0;9000.0;36.11;50.0;Apartamento
Apartamento;Botafogo;2;1;1;76;3200.0;760.0;125.0;4085.0;42.11;53.75;Apartamento
Apartamento;Barra da Tijuca;3;2;3;263;13000.0;2668.0;896.0;16564.0;49.43;62.98;Apartamento
Apartamento;Bonsucesso;2;1;0;70;1100.0;300.0;0.0;1400.0;15.71;20.0;Apartamento
Apartamento;Tijuca;2;1;0;79;1600.0;700.0;81.0;2381.0;20.25;30.14;Apartamento
Apartamento;Barra da Tijuca;2;1;1;90;3300.0;1308.0;213.0;4821.0;36.67;53.57;Apartamento
Quitinete;Copacabana;1;0;0;35;1600.0;462.0;67.0;2129.0;45.71;60.83;Apartamento
Casa de Condomínio;Itanhangá;5;3;5;700;16000.0;1600.0;150.0;17750.0;22.86;25.36;Apartamento
Apartamento;Ipanema;4;2;3;200;12000.0;1650.0;500.0;14150.0;60.0;70.75;Apartamento
Apartamento;Copacabana;3;0;0;110;2900.0;1400.0;100.0;4400.0;26.36;40.0;Apartamento
Apartamento;Barra da Tijuca;3;2;1;118;3500.0;1300.0;412.0;5212.0;29.66;44.17;Apartamento
Apartamento;Ipanema;2;1;2;70;6000.0;4190.0;432.0;10622.0;85.71;151.74;Apartamento
Casa de Condomínio;Vila Valqueire;4;2;0;250;2700.0;190.0;0.0;2890.0;10.8;11.56;Apartamento
Apartamento;Engenho de Dentro;3;1;1;182;1800.0;1407.0;180.0;3387.0;9.89;18.61;Apartamento
Apartamento;São Conrado;4;3;2;457;9500.0;10500.0;2340.0;22340.0;20.79;48.88;Apartamento
Apartamento;Barra da Tijuca;4;3;4;200;9000.0;2300.0;450.0;11750.0;45.0;58.75;Apartamento
Casa;Grajaú;1;0;0;30;1000.0;0.0;0.0;1000.0;33.33;33.33;Casa
Apartamento;Penha Circular;2;0;0;71;1100.0;321.0;0.0;1421.0;15.49;20.01;Apartamento
Apartamento;Barra da Tijuca;2;2;1;105;5000.0;2100.0;730.0;7830.0;47.62;74.57;Apartamento
Apartamento;São Conrado;5;3;5;500;19000.0;15000.0;4190.0;38190.0;38.0;76.38;Apartamento
Apartamento;Ipanema;4;2;1;180;8000.0;1800.0;585.0;10385.0;44.44;57.69;Apartamento
Quitinete;Centro;1;0;0;28;900.0;360.0;20.0;1280.0;32.14;45.71;Apartamento
Apartamento;Barra da Tijuca;1;1;1;75;1800.0;1200.0;200.0;3200.0;24.0;42.67;Apartamento
Quitinete;Centro;0;0;0;40;1200.0;500.0;96.0;1796.0;30.0;44.9;Apartamento
Casa;Praça Seca;4;1;1;252;2300.0;0.0;201.0;2501.0;9.13;9.92;Casa
Casa de Condomínio;Joá;4;3;1;250;6900.0;1000.0;522.0;8422.0;27.6;33.69;Apartamento
Apartamento;Barra da Tijuca;4;4;4;380;11000.0;1440.0;12000.0;24440.0;28.95;64.32;Apartamento
Apartamento;Copacabana;4;1;2;389;12400.0;3825.0;0.0;16225.0;31.88;41.71;Apartamento
Apartamento;Recreio dos Bandeirantes;3;3;1;105;2500.0;937.0;231.0;3668.0;23.81;34.93;Apartamento
Apartamento;Botafogo;2;1;0;85;4000.0;900.0;0.0;4900.0;47.06;57.65;Apartamento
Apartamento;Barra da Tijuca;2;1;1;100;3100.0;1750.0;0.0;4850.0;31.0;48.5;Apartamento
Apartamento;Copacabana;1;0;0;56;1400.0;505.0;56.0;1961.0;25.0;35.02;Apartamento
Apartamento;Barra da Tijuca;3;2;3;180;8000.0;2570.0;470.0;11040.0;44.44;61.33;Apartamento
Apartamento;Higienópolis;2;0;0;65;1100.0;90.0;0.0;1190.0;16.92;18.31;Apartamento
Casa;Vargem Grande;2;1;0;61;1100.0;570.0;0.0;1670.0;18.03;27.38;Casa
Apartamento;Glória;1;0;1;60;1900.0;600.0;0.0;2500.0;31.67;41.67;Apartamento
Apartamento;Copacabana;1;0;0;32;2000.0;390.0;25.0;2415.0;62.5;75.47;Apartamento
Apartamento;Flamengo;1;0;0;31;1000.0;394.0;24.0;1418.0;32.26;45.74;Apartamento
Apartamento;Tijuca;2;1;1;98;2800.0;900.0;110.0;3810.0;28.57;38.88;Apartamento
Apartamento;Flamengo;2;1;1;100;6500.0;850.0;270.0;7620.0;65.0;76.2;Apartamento
Quitinete;Copacabana;1;0;0;20;1000.0;0.0;0.0;1000.0;50.0;50.0;Apartamento
Apartamento;Leblon;3;1;1;150;12000.0;1950.0;3621.0;17571.0;80.0;117.14;Apartamento
Apartamento;Barra da Tijuca;5;4;3;890;17000.0;2550.0;2500.0;22050.0;19.1;24.78;Apartamento
Apartamento;Pechincha;2;1;0;65;1400.0;620.0;49.0;2069.0;21.54;31.83;Apartamento
Apartamento;Barra da Tijuca;2;1;1;67;1250.0;833.0;155.0;2238.0;18.66;33.4;Apartamento
Apartamento;Leblon;3;3;2;240;20000.0;3800.0;800.0;24600.0;83.33;102.5;Apartamento
Apartamento;Copacabana;2;0;0;82;3300.0;750.0;0.0;4050.0;40.24;49.39;Apartamento
Quitinete;Glória;0;0;0;30;1000.0;350.0;0.0;1350.0;33.33;45.0;Apartamento
Apartamento;Barra da Tijuca;1;1;1;50;1200.0;645.0;55.0;1900.0;24.0;38.0;Apartamento
Apartamento;Copacabana;3;0;1;110;2800.0;500.0;113.0;3413.0;25.45;31.03;Apartamento
Apartamento;Leblon;3;1;1;150;5000.0;1000.0;400.0;6400.0;33.33;42.67;Apartamento
Apartamento;Recreio dos Bandeirantes;3;4;1;250;3800.0;1320.0;406.0;5526.0;15.2;22.1;Apartamento
Apartamento;Copacabana;1;0;0;68;2200.0;643.0;149.0;2992.0;32.35;44.0;Apartamento
Apartamento;Copacabana;3;1;2;110;3800.0;1100.0;110.0;5010.0;34.55;45.55;Apartamento
Casa de Vila;Vila Isabel;2;0;0;60;1300.0;136.0;0.0;1436.0;21.67;23.93;Casa
Apartamento;Copacabana;2;1;2;160;6500.0;6500.0;500.0;13500.0;40.62;84.38;Apartamento
Apartamento;Barra da Tijuca;2;3;2;240;9000.0;1000.0;0.0;10000.0;37.5;41.67;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;2;135;3000.0;2700.0;3827.0;9527.0;22.22;70.57;Apartamento
Apartamento;Recreio dos Bandeirantes;3;3;3;239;3300.0;875.0;450.0;4625.0;13.81;19.35;Apartamento
Apartamento;Copacabana;1;2;1;156;3900.0;1650.0;320.0;5870.0;25.0;37.63;Apartamento
Apartamento;Leblon;2;0;0;70;3800.0;850.0;177.0;4827.0;54.29;68.96;Apartamento
Apartamento;Leme;3;1;1;170;7800.0;1300.0;570.0;9670.0;45.88;56.88;Apartamento
Apartamento;Leblon;3;2;1;144;7000.0;2560.0;542.0;10102.0;48.61;70.15;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;1;83;2700.0;1192.0;157.0;4049.0;32.53;48.78;Apartamento
Apartamento;Leblon;2;1;0;70;4200.0;1100.0;200.0;5500.0;60.0;78.57;Apartamento
Apartamento;Engenho Novo;2;1;0;60;1100.0;416.0;16.0;1532.0;18.33;25.53;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;76;2000.0;700.0;122.0;2822.0;26.32;37.13;Apartamento
Apartamento;Ipanema;2;1;1;77;3900.0;1168.0;158.0;5226.0;50.65;67.87;Apartamento
Apartamento;Moneró;1;0;0;55;1000.0;350.0;18.0;1368.0;18.18;24.87;Apartamento
Casa;Cosmos;3;0;0;60;800.0;0.0;0.0;800.0;13.33;13.33;Casa
Apartamento;Lagoa;2;1;1;93;4500.0;880.0;0.0;5380.0;48.39;57.85;Apartamento
Apartamento;Leblon;4;2;2;200;7500.0;1800.0;733.0;10033.0;37.5;50.16;Apartamento
